,zip,AQI,Category Number,Category Name,Pollutant
333,14735,49,1,Good,OZONE
334,14736,49,1,Good,OZONE
335,14737,49,1,Good,OZONE
336,14738,49,1,Good,OZONE
337,14739,49,1,Good,OZONE
338,14740,49,1,Good,OZONE
339,14741,49,1,Good,OZONE
340,14743,49,1,Good,OZONE
341,14744,49,1,Good,OZONE
342,14747,49,1,Good,OZONE
343,14748,49,1,Good,OZONE
344,14750,49,1,Good,OZONE
345,14753,49,1,Good,OZONE
346,14754,49,1,Good,OZONE
347,14755,49,1,Good,OZONE
348,14757,49,1,Good,OZONE
349,14760,49,1,Good,OZONE
350,14767,49,1,Good,OZONE
351,14769,49,1,Good,OZONE
352,14770,49,1,Good,OZONE
353,14772,49,1,Good,OZONE
354,14775,49,1,Good,OZONE
355,14777,49,1,Good,OZONE
356,14779,49,1,Good,OZONE
357,14781,49,1,Good,OZONE
358,14782,49,1,Good,OZONE
359,14784,49,1,Good,OZONE
360,14787,49,1,Good,OZONE
361,14416,49,1,Good,OZONE
362,14422,49,1,Good,OZONE
363,14427,49,1,Good,OZONE
364,12032,42,1,Good,OZONE
365,12108,42,1,Good,OZONE
366,12134,42,1,Good,OZONE
367,12139,42,1,Good,OZONE
368,12164,42,1,Good,OZONE
369,12190,42,1,Good,OZONE
370,12801,42,1,Good,OZONE
371,12810,42,1,Good,OZONE
372,12812,42,1,Good,OZONE
373,12814,42,1,Good,OZONE
374,12815,42,1,Good,OZONE
375,12824,42,1,Good,OZONE
376,12817,42,1,Good,OZONE
377,12836,42,1,Good,OZONE
378,12901,42,1,Good,OZONE
379,12903,42,1,Good,OZONE
380,12910,42,1,Good,OZONE
381,12911,42,1,Good,OZONE
382,12912,42,1,Good,OZONE
383,12913,42,1,Good,OZONE
384,12914,42,1,Good,OZONE
385,12916,42,1,Good,OZONE
386,12917,42,1,Good,OZONE
387,12918,42,1,Good,OZONE
388,12919,42,1,Good,OZONE
389,12920,42,1,Good,OZONE
390,12921,42,1,Good,OZONE
391,12922,42,1,Good,OZONE
392,12923,42,1,Good,OZONE
393,12924,42,1,Good,OZONE
394,12926,42,1,Good,OZONE
395,12928,42,1,Good,OZONE
