,City,State,Zipcode,Latitude,Longitude
204,Aiken-Augusta - SC/GA,SC,30907,33.521,-82.0494
205,Aiken-Augusta - SC/GA,SC,30909,33.4809,-82.1251
206,Albany,OR,97321,44.6308,-123.1084
207,Albany,OR,97322,44.6253,-123.0839
208,Albuquerque,NM,87048,35.225,-106.6148
209,Albuquerque,NM,87101,35.093,-106.6443
210,Albuquerque,NM,87102,35.0848,-106.656
211,Albuquerque,NM,87103,35.0836,-106.6532
212,Albuquerque,NM,87104,35.0983,-106.667
213,Albuquerque,NM,87105,35.0652,-106.67
214,Albuquerque,NM,87106,35.0792,-106.6235
215,Albuquerque,NM,87107,35.1236,-106.6093
216,Albuquerque,NM,87108,35.0735,-106.5631
217,Albuquerque,NM,87109,35.141,-106.5801
218,Albuquerque,NM,87110,35.1039,-106.5719
219,Albuquerque,NM,87111,35.1362,-106.5444
220,Albuquerque,NM,87112,35.1087,-106.53
221,Albuquerque,NM,87113,35.1814,-106.5919
222,Albuquerque,NM,87114,35.1893,-106.6697
223,Albuquerque,NM,87115,34.9985,-106.5389
224,Albuquerque,NM,87116,35.0586,-106.5448
225,Albuquerque,NM,87117,35.0559,-106.5531
226,Albuquerque,NM,87119,35.0482,-106.6254
227,Albuquerque,NM,87120,35.1182,-106.7039
228,Albuquerque,NM,87121,35.0463,-106.7245
229,Albuquerque,NM,87122,35.1831,-106.5519
230,Albuquerque,NM,87123,35.0709,-106.504
231,Albuquerque,NM,87125,35.093,-106.6443
232,Albuquerque,NM,87131,35.0891,-106.6193
233,Albuquerque,NM,87153,35.0996,-106.517
234,Albuquerque,NM,87154,35.117,-106.5317
235,Albuquerque,NM,87158,35.0842,-106.6491
236,Albuquerque,NM,87165,35.0938,-106.6427
237,Albuquerque,NM,87176,35.1076,-106.5982
238,Albuquerque,NM,87181,35.0866,-106.5016
239,Albuquerque,NM,87184,35.1853,-106.6204
240,Albuquerque,NM,87185,35.0551,-106.5538
241,Albuquerque,NM,87187,35.2049,-106.6477
242,Albuquerque,NM,87190,35.1076,-106.5982
243,Albuquerque,NM,87191,35.117,-106.5317
244,Albuquerque,NM,87192,35.0996,-106.517
245,Albuquerque,NM,87193,35.1838,-106.6739
246,Albuquerque,NM,87194,35.0937,-106.6697
247,Albuquerque,NM,87195,35.0651,-106.6736
248,Albuquerque,NM,87196,35.0797,-106.6199
249,Albuquerque,NM,87197,35.1212,-106.6459
250,Albuquerque,NM,87198,35.077,-106.5819
251,Albuquerque,NM,87199,35.1606,-106.5759
252,Alexander County,NC,28681,35.9212,-81.1744
253,Alexander County,NC,28636,35.9294,-81.0112
254,Alexandria,LA,71301,31.3087,-92.4499
255,Alexandria,LA,71302,31.2974,-92.4336
256,Alexandria,LA,71303,31.2804,-92.4846
257,Alexandria,LA,71360,31.1638,-92.2265
258,Alleghany County,NC,28644,36.499,-81.2802
259,Alleghany County,NC,28675,36.5065,-81.1184
260,Alleghany County,NC,28623,36.5238,-80.9967
261,Alleghany County,NC,28627,36.4522,-81.0059
262,Altoona,PA,16617,40.6006,-78.3324
263,Altoona,PA,16625,40.2799,-78.4547
264,Altoona,PA,16601,40.52,-78.4051
265,Altoona,PA,16602,40.4853,-78.4004
266,Altoona,PA,16635,40.4262,-78.434
267,Altoona,PA,16637,40.3601,-78.4228
268,Altoona,PA,16648,40.4322,-78.3932
269,Altoona,PA,16662,40.2431,-78.3101
270,Altoona,PA,16673,40.2653,-78.3858
271,Altoona,PA,16686,40.6761,-78.2413
272,Altoona,PA,16693,40.462,-78.2031
273,Amarillo,TX,79101,35.2052,-101.8412
274,Amarillo,TX,79102,35.1994,-101.8734
275,Amarillo,TX,79103,35.1791,-101.7876
276,Amarillo,TX,79104,35.1973,-101.7883
277,Amarillo,TX,79105,35.2042,-101.8322
278,Amarillo,TX,79106,35.1814,-101.8927
279,Amarillo,TX,79107,35.2222,-101.8301
280,Amarillo,TX,79108,35.2582,-101.8298
281,Amarillo,TX,79109,35.1606,-101.8836
282,Amarillo,TX,79110,35.1713,-101.8467
283,Amarillo,TX,79111,35.2305,-101.669
284,Amarillo,TX,79116,35.2138,-101.8837
285,Amarillo,TX,79117,35.2237,-101.8126
